Provinces,2020/3/1,2020/4/1,2020/5/1,2020/6/1,2020/7/1,2020/8/1,2020/9/1,2020/10/1,2020/11/1,2020/12/1,2021/3/1,2021/4/1,2021/5/1,2021/6/1,2021/7/1,2021/8/1,2021/9/1,2021/10/1,2021/11/1,2021/12/1,2022/3/1,2022/4/1,2022/5/1,2022/6/1,2022/7/1,2022/8/1,2022/9/1,2022/10/1,2022/11/1,2022/12/1,2023/3/1,2023/4/1,2023/5/1,2023/6/1,2023/7/1,2023/8/1,2023/9/1,2023/10/1,2023/11/1,2023/12/1
liaoning,-9.9,2.1,6.0,3.0,4.5,4.8,6.2,3.1,4.0,8.1,13.3,9.0,6.0,5.6,4.4,2.8,-3.5,-3.1,-5.9,-3.0,-6.5,-11.2,-1.2,-0.2,-8.1,1.6,6.8,0.6,1.0,-6.5,18.0,6.2,-0.3,4.8,9.9,2.1,-2.0,3.0,5.6,10.1
ningxia,9.0,7.3,4.0,8.5,-11.6,4.6,6.9,16.4,8.2,2.6,8.7,11.1,9.8,4.6,15.2,5.5,3.0,1.2,0.6,1.2,8.5,8.2,7.6,15.0,12.4,10.3,8.0,2.8,7.9,-1.3,8.7,5.1,0.0,5.4,11.1,18.7,17.7,21.6,14.6,21.1
neimenggu,0.1,1.6,-3.6,0.9,-1.8,-0.6,-2.1,7.3,8.2,9.7,3.6,5.9,4.9,0.4,2.4,3.4,3.4,1.8,2.2,3.1,12.1,9.5,8.5,10.5,9.9,8.7,11.0,8.2,7.6,3.5,8.1,4.9,3.9,8.0,8.9,9.7,8.4,5.4,7.5,7.3
qinghai,9.0,3.3,4.2,3.8,4.6,5.7,-0.8,-6.0,-8.7,-7.6,4.7,6.1,6.1,5.3,6.5,2.2,8.0,10.4,16.2,10.3,13.7,10.3,10.7,15.1,17.1,18.3,14.0,13.1,18.4,20.6,14.7,8.6,6.8,2.4,4.3,6.8,7.1,0.4,-1.0,-2.9
shanxi,4.6,5.8,8.6,0.6,-0.8,7.1,4.0,4.7,-1.3,0.9,9.6,7.0,5.5,3.4,4.2,4.5,-9.3,5.8,10.5,8.2,8.2,6.7,8.3,9.3,9.5,4.9,11.8,5.4,2.2,4.4,0.0,0.7,-4.0,-2.1,-2.9,-2.7,-2.0,1.9,7.2,5.6
shanxi,9.0,1.6,2.1,4.0,2.8,10.7,14.0,12.6,10.7,13.4,8.1,10.5,7.6,8.6,9.4,9.5,11.9,9.2,8.8,10.5,12.4,10.6,9.8,12.0,9.4,9.2,9.2,4.6,5.5,6.5,2.2,2.6,1.4,5.7,3.0,2.5,2.6,8.6,10.7,5.5
shanghai,-13.0,2.8,2.2,3.6,10.9,6.7,6.9,8.9,8.4,13.8,21.2,10.2,10.7,4.0,4.6,8.6,7.4,2.7,0.3,0.0,-10.9,-62.6,-30.9,13.9,18.6,16.1,10.6,11.8,3.4,-3.2,14.4,157.8,49.3,-9.4,-11.0,-12.7,-13.3,-9.8,-1.8,4.0
shandong,1.7,3.9,5.1,7.0,5.6,9.9,10.1,9.8,9.9,9.2,12.2,11.1,8.1,10.3,4.9,3.4,3.2,1.4,3.7,7.5,5.8,-0.4,5.1,6.1,4.1,7.4,7.6,7.2,3.5,3.6,7.4,6.8,6.8,9.5,9.0,7.6,7.5,6.0,6.6,7.3
sichuan,5.5,6.3,5.7,5.0,3.6,3.4,6.9,7.5,7.0,8.6,14.1,10.2,7.3,9.1,8.4,7.8,7.2,5.7,7.2,7.9,7.1,3.9,2.6,1.3,6.0,-11.0,5.6,9.8,7.9,7.5,-6.4,3.4,7.4,8.1,7.1,22.0,8.2,2.4,3.1,4.3
tianjin,-15.9,-1.9,6.9,5.6,11.5,9.4,10.7,5.3,4.3,5.7,23.2,7.4,5.0,5.9,3.2,0.0,-4.0,0.8,1.5,3.0,0.7,-4.0,-2.5,6.1,-3.7,1.3,5.2,1.1,-3.1,-10.3,5.8,3.6,7.1,0.5,4.5,4.3,1.8,-2.6,3.3,8.1
xizang,-1.7,-1.1,14.0,11.2,11.0,12.5,14.5,15.5,16.3,15.1,30.8,22.9,16.5,16.4,6.9,-0.4,7.8,11.2,10.9,9.0,20.3,18.5,17.5,14.0,13.5,12.9,8.9,2.4,34.3,12.5,13.0,-0.5,-10.2,10.2,17.0,23.2,25.6,22.8,-18.9,-2.5
xinjiang,7.2,7.0,9.6,12.2,4.8,2.7,11.2,9.6,8.8,8.7,10.9,7.4,6.7,5.4,6.2,16.9,6.8,4.7,2.2,2.2,8.8,6.0,8.2,7.4,12.0,8.2,3.4,3.0,6.0,9.0,9.8,8.6,-0.2,-4.7,1.5,5.0,5.7,10.3,12.0,7.9
yunnan,-1.3,1.7,-2.5,5.8,4.1,5.0,6.6,8.1,4.3,-5.8,8.1,10.8,7.4,10.1,2.6,6.5,2.2,2.5,3.3,4.5,16.7,3.4,12.5,3.5,9.4,8.7,7.5,6.6,5.9,5.3,-2.4,3.2,3.1,8.4,10.1,6.3,5.2,5.3,3.8,0.7
zhejiang,1.3,9.5,9.9,6.5,6.1,9.9,10.7,10.9,11.9,10.2,15.5,12.8,9.5,11.0,10.4,9.9,8.1,4.4,4.3,4.0,8.5,-1.9,1.5,5.1,3.6,4.0,7.4,5.2,1.7,-4.7,8.6,6.4,6.1,9.8,5.9,8.4,7.2,6.2,6.0,9.5
